HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at age 60 (years),Seychelles,2019,Both sexes,14.07,-4.58,55.67
Healthy life expectancy (HALE) at age 60 (years),Morocco,2019,Both sexes,14.12,32,-5
Healthy life expectancy (HALE) at age 60 (years),Bolivia (Plurinational State of),2019,Both sexes,14.17,,
Healthy life expectancy (HALE) at age 60 (years),Iraq,2019,Both sexes,14.19,33,44
Healthy life expectancy (HALE) at age 60 (years),Qatar,2019,Both sexes,14.19,25.5,51.25
Healthy life expectancy (HALE) at age 60 (years),Mauritania,2019,Both sexes,14.28,20,-12
Healthy life expectancy (HALE) at age 60 (years),Grenada,2019,Both sexes,14.34,12.12,-61.67
Healthy life expectancy (HALE) at age 60 (years),Georgia,2019,Both sexes,14.41,42,43.5
Healthy life expectancy (HALE) at age 60 (years),Tonga,2019,Both sexes,14.46,-20,-175
Healthy life expectancy (HALE) at age 60 (years),United Arab Emirates,2019,Both sexes,14.47,24,54
Healthy life expectancy (HALE) at age 60 (years),Bhutan,2019,Both sexes,14.49,27.5,90.5
Healthy life expectancy (HALE) at age 60 (years),Brunei Darussalam,2019,Both sexes,14.5,4.5,114.67
Healthy life expectancy (HALE) at age 60 (years),Mauritius,2019,Both sexes,14.5,-20.28,57.55
Healthy life expectancy (HALE) at age 60 (years),Uzbekistan,2019,Both sexes,14.51,41,64
Healthy life expectancy (HALE) at age 60 (years),Republic of Moldova,2019,Both sexes,14.55,,
Healthy life expectancy (HALE) at age 60 (years),Malaysia,2019,Both sexes,14.63,2.5,112.5
Healthy life expectancy (HALE) at age 60 (years),Turkmenistan,2019,Both sexes,14.72,40,60
Healthy life expectancy (HALE) at age 60 (years),Viet Nam,2019,Both sexes,14.76,,
Healthy life expectancy (HALE) at age 60 (years),Kazakhstan,2019,Both sexes,14.8,48,68
Healthy life expectancy (HALE) at age 60 (years),Cabo Verde,2019,Both sexes,14.87,,
Healthy life expectancy (HALE) at age 60 (years),Democratic People's Republic of Korea,2019,Both sexes,14.88,,
Healthy life expectancy (HALE) at age 60 (years),Serbia,2019,Both sexes,14.9,44,21
Healthy life expectancy (HALE) at age 60 (years),Montenegro,2019,Both sexes,14.92,42,19
Healthy life expectancy (HALE) at age 60 (years),Ukraine,2019,Both sexes,14.97,49,32
Healthy life expectancy (HALE) at age 60 (years),Guatemala,2019,Both sexes,15.03,15.5,-90.25
Healthy life expectancy (HALE) at age 60 (years),Lebanon,2019,Both sexes,15.03,33.83,35.83
Healthy life expectancy (HALE) at age 60 (years),Russian Federation,2019,Both sexes,15.03,60,100
Healthy life expectancy (HALE) at age 60 (years),Nicaragua,2019,Both sexes,15.08,13,-85
Healthy life expectancy (HALE) at age 60 (years),Belarus,2019,Both sexes,15.11,53,28
Healthy life expectancy (HALE) at age 60 (years),Bosnia and Herzegovina,2019,Both sexes,15.21,44,18
Healthy life expectancy (HALE) at age 60 (years),Bulgaria,2019,Both sexes,15.24,43,25
Healthy life expectancy (HALE) at age 60 (years),Hungary,2019,Both sexes,15.3,47,20
Healthy life expectancy (HALE) at age 60 (years),Sri Lanka,2019,Both sexes,15.3,7,81
Healthy life expectancy (HALE) at age 60 (years),Bangladesh,2019,Both sexes,15.5,24,90
Healthy life expectancy (HALE) at age 60 (years),Libya,2019,Both sexes,15.54,,
Healthy life expectancy (HALE) at age 60 (years),Latvia,2019,Both sexes,15.64,57,25
Healthy life expectancy (HALE) at age 60 (years),Romania,2019,Both sexes,15.66,46,25
Healthy life expectancy (HALE) at age 60 (years),Kyrgyzstan,2019,Both sexes,15.68,41,75
Healthy life expectancy (HALE) at age 60 (years),Iran (Islamic Republic of),2019,Both sexes,15.72,,
Healthy life expectancy (HALE) at age 60 (years),Armenia,2019,Both sexes,15.73,40,45
Healthy life expectancy (HALE) at age 60 (years),Saint Lucia,2019,Both sexes,15.81,13.88,-61.13
Healthy life expectancy (HALE) at age 60 (years),Antigua and Barbuda,2019,Both sexes,15.83,17.05,-61.8
Healthy life expectancy (HALE) at age 60 (years),Saint Vincent and the Grenadines,2019,Both sexes,15.91,13.25,-61.2
Healthy life expectancy (HALE) at age 60 (years),China,2019,Both sexes,15.92,35,105
Healthy life expectancy (HALE) at age 60 (years),Lithuania,2019,Both sexes,15.92,56,24
Healthy life expectancy (HALE) at age 60 (years),Dominican Republic,2019,Both sexes,15.99,19,-70.67
Healthy life expectancy (HALE) at age 60 (years),Tunisia,2019,Both sexes,15.99,34,9
Healthy life expectancy (HALE) at age 60 (years),Algeria,2019,Both sexes,16.02,28,3
Healthy life expectancy (HALE) at age 60 (years),Mexico,2019,Both sexes,16.07,23,-102
Healthy life expectancy (HALE) at age 60 (years),Bahamas,2019,Both sexes,16.16,24.25,-76
Healthy life expectancy (HALE) at age 60 (years),Jordan,2019,Both sexes,16.23,31,36
Healthy life expectancy (HALE) at age 60 (years),Croatia,2019,Both sexes,16.24,45.17,15.5
Healthy life expectancy (HALE) at age 60 (years),Argentina,2019,Both sexes,16.27,-34,-64
Healthy life expectancy (HALE) at age 60 (years),Venezuela (Bolivarian Republic of),2019,Both sexes,16.29,,
Healthy life expectancy (HALE) at age 60 (years),Cuba,2019,Both sexes,16.31,21.5,-80
Healthy life expectancy (HALE) at age 60 (years),Czechia,2019,Both sexes,16.32,,
Healthy life expectancy (HALE) at age 60 (years),Barbados,2019,Both sexes,16.34,13.17,-59.53
Healthy life expectancy (HALE) at age 60 (years),Brazil,2019,Both sexes,16.35,-10,-55
Healthy life expectancy (HALE) at age 60 (years),United States of America,2019,Both sexes,16.35,,
Healthy life expectancy (HALE) at age 60 (years),El Salvador,2019,Both sexes,16.38,13.83,-88.92
Healthy life expectancy (HALE) at age 60 (years),Jamaica,2019,Both sexes,16.39,18.25,-77.5
Healthy life expectancy (HALE) at age 60 (years),Paraguay,2019,Both sexes,16.48,-23,-58
Healthy life expectancy (HALE) at age 60 (years),Slovakia,2019,Both sexes,16.57,48.67,19.5
Healthy life expectancy (HALE) at age 60 (years),Albania,2019,Both sexes,16.58,41,20
Healthy life expectancy (HALE) at age 60 (years),Türkiye,2019,Both sexes,16.6,,
Healthy life expectancy (HALE) at age 60 (years),Uruguay,2019,Both sexes,16.64,-33,-56
Healthy life expectancy (HALE) at age 60 (years),Belize,2019,Both sexes,16.69,17.25,-88.75
Healthy life expectancy (HALE) at age 60 (years),Maldives,2019,Both sexes,16.79,3.25,73
Healthy life expectancy (HALE) at age 60 (years),Poland,2019,Both sexes,16.84,52,20
Healthy life expectancy (HALE) at age 60 (years),Trinidad and Tobago,2019,Both sexes,17.24,11,-61
Healthy life expectancy (HALE) at age 60 (years),Estonia,2019,Both sexes,17.29,59,26
Healthy life expectancy (HALE) at age 60 (years),Ecuador,2019,Both sexes,17.6,-2,-77.5
Healthy life expectancy (HALE) at age 60 (years),Kuwait,2019,Both sexes,17.78,29.34,47.66
Healthy life expectancy (HALE) at age 60 (years),Slovenia,2019,Both sexes,17.83,46,15
Healthy life expectancy (HALE) at age 60 (years),Thailand,2019,Both sexes,17.96,15,100
Healthy life expectancy (HALE) at age 60 (years),Colombia,2019,Both sexes,18.06,4,-72
Healthy life expectancy (HALE) at age 60 (years),Panama,2019,Both sexes,18.14,9,-80
Healthy life expectancy (HALE) at age 60 (years),Belgium,2019,Both sexes,18.17,50.83,4
Healthy life expectancy (HALE) at age 60 (years),Denmark,2019,Both sexes,18.23,56,10
Healthy life expectancy (HALE) at age 60 (years),United Kingdom of Great Britain and Northern Ireland,2019,Both sexes,18.25,,
Healthy life expectancy (HALE) at age 60 (years),Austria,2019,Both sexes,18.35,47.33,13.33
Healthy life expectancy (HALE) at age 60 (years),Chile,2019,Both sexes,18.37,-30,-71
Healthy life expectancy (HALE) at age 60 (years),Greece,2019,Both sexes,18.44,39,22
Healthy life expectancy (HALE) at age 60 (years),Netherlands,2019,Both sexes,18.44,52.5,5.75
Healthy life expectancy (HALE) at age 60 (years),Finland,2019,Both sexes,18.46,64,26
Healthy life expectancy (HALE) at age 60 (years),Norway,2019,Both sexes,18.46,62,10
Healthy life expectancy (HALE) at age 60 (years),Germany,2019,Both sexes,18.47,51,9
Healthy life expectancy (HALE) at age 60 (years),Peru,2019,Both sexes,18.49,-10,-76
Healthy life expectancy (HALE) at age 60 (years),Luxembourg,2019,Both sexes,18.52,49.75,6.17
Healthy life expectancy (HALE) at age 60 (years),New Zealand,2019,Both sexes,18.55,-41,174
Healthy life expectancy (HALE) at age 60 (years),Ireland,2019,Both sexes,18.58,53,-8
Healthy life expectancy (HALE) at age 60 (years),Portugal,2019,Both sexes,18.65,39.5,-8
Healthy life expectancy (HALE) at age 60 (years),Costa Rica,2019,Both sexes,18.69,10,-84
Healthy life expectancy (HALE) at age 60 (years),Malta,2019,Both sexes,18.86,35.83,14.58
Healthy life expectancy (HALE) at age 60 (years),Sweden,2019,Both sexes,18.86,62,15
Healthy life expectancy (HALE) at age 60 (years),Italy,2019,Both sexes,18.91,42.83,12.83
Healthy life expectancy (HALE) at age 60 (years),Australia,2019,Both sexes,18.98,-27,133
Healthy life expectancy (HALE) at age 60 (years),Canada,2019,Both sexes,18.99,60,-95
Healthy life expectancy (HALE) at age 60 (years),Cyprus,2019,Both sexes,19,35,33
Healthy life expectancy (HALE) at age 60 (years),Iceland,2019,Both sexes,19.04,65,-18
Healthy life expectancy (HALE) at age 60 (years),Spain,2019,Both sexes,19.2,40,-4
Healthy life expectancy (HALE) at age 60 (years),Israel,2019,Both sexes,19.33,31.5,34.75
Healthy life expectancy (HALE) at age 60 (years),Switzerland,2019,Both sexes,19.52,47,8
Healthy life expectancy (HALE) at age 60 (years),France,2019,Both sexes,19.7,46,2
Healthy life expectancy (HALE) at age 60 (years),Republic of Korea,2019,Both sexes,19.81,,
Healthy life expectancy (HALE) at age 60 (years),Singapore,2019,Both sexes,19.95,1.37,103.8
Healthy life expectancy (HALE) at age 60 (years),Japan,2019,Both sexes,20.39,36,138
Healthy life expectancy (HALE) at age 60 (years),Lesotho,2019,Both sexes,9.79,-29.5,28.5
Healthy life expectancy (HALE) at age 60 (years),Central African Republic,2019,Both sexes,9.95,7,21
